Year,Period,Wolf Control,No. Moose,No. Caribou,No. Wolves,Moose Harvest,Harvest %,Moose Density,Wolf Density,Moose:Wolf Ratio,Caribou:Wolf Ratio,Moose Lambda,Caribou Lambda,Moose Cow:Calf Ratio,Moose Twinning,newtwinning,Caribou Cow:Calf Ratio,Caribou Calf %,Caribou Yearling and Adult Survival,Snow Depth (cm),Total Snowfall (cm),fire
1963,pre-control,no,22605.252,5000,170,284.8261752,1.26,1.732860493,9.9378,132.9720706,29.41176471,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,106540.4847
1964,pre-control,no,23300,NA,NA,263.29,1.13,1.78611918,NA,NA,NA,1.03073392,NA,NA,NA,NA,NA,NA,NA,NA,NA,106540.4847
1965,pre-control,no,22996.572,5000,200,335.7499512,1.46,1.762858693,11.6808,114.98286,25,0.986977339,NA,NA,NA,13,NA,NA,NA,132.08,314.96,106540.4847
1966,pre-control,no,17200,NA,NA,216.72,1.26,1.31849928,NA,NA,NA,0.747937562,NA,NA,NA,13,NA,NA,NA,93.98,261.62,106540.4847
1967,pre-control,no,14504.928,5000,230,292.9995456,2.02,1.111897756,13.4238,63.06490435,21.73913043,0.843309767,NA,NA,NA,13,NA,NA,NA,83.82,182.88,106540.4847
1968,pre-control,no,13000,5000,NA,378.3,2.91,0.99653148,NA,NA,NA,0.896247124,NA,NA,NA,11,NA,NA,NA,73.66,152.4,106540.4847
1969,pre-control,no,12000.48,5000,270,360.0144,3,0.919909276,15.7478,44.44622222,18.51851852,0.923113846,1,NA,NA,18,NA,NA,NA,30.48,91.44,106540.4847
1970,pre-control,no,11800,4500,NA,444.86,3.77,0.90454068,NA,NA,NA,0.983294002,0.9,NA,NA,18,NA,NA,NA,109.22,370.84,106540.4847
1971,pre-control,no,7995.972,4000,270,453.3716124,5.67,0.612927698,15.7478,29.61471111,14.81481481,0.677624746,0.888888889,NA,NA,17,NA,NA,NA,76.2,228.6,102905.3683
1972,pre-control,no,6700,3200,260,696.8,10.4,0.51357978,15.1668,25.76923077,12.30769231,0.837921894,0.8,NA,NA,12,NA,NA,NA,55.88,203.2,102905.2126
1973,pre-control,no,4200.168,2400,NA,778.7111472,18.54,0.321945159,NA,NA,NA,0.626890746,0.75,NA,NA,NA,NA,NA,NA,55.88,124.46,102905.2126
1974,pre-control,no,3104.472,2100,250,422.208192,13.6,0.237950199,14.5858,12.417888,8.4,0.739130435,0.875,NA,NA,NA,NA,NA,NA,78.74,228.6,102905.2126
1975,pre-control,no,2804.46,2200,239,60.29589,2.15,0.214951579,14.1,11.73414226,9.205020921,0.903361345,1.047619048,NA,NA,11,NA,NA,NA,45.72,129.54,103559.5366
1976,pre-control,yes,3000.12,2700,125,59.402376,1.98,0.229950679,7.4,24.00096,21.6,1.069767442,1.227272727,NA,NA,10,NA,NA,NA,73.66,152.4,110710.1982
1977,pre-control,yes,3300.132,3100,100,48.1819272,1.46,0.252949299,5.9,33.00132,31,1.1,1.148148148,NA,NA,31,NA,NA,NA,48.26,121.92,106028.2821
1978,pre-control,yes,3495.792,3500,80,77.9561616,2.23,0.267948399,4.7,43.6974,43.75,1.059288538,1.129032258,NA,NA,30,NA,NA,NA,63.5,167.64,33568.37748
1979,pre-control,yes,4400,4191,74,147.84,3.36,0.33726408,4.4,59.45945946,56.63513514,1.258656121,1.197428571,NA,NA,47,NA,NA,NA,40.64,104.14,17446.86498
1980,pre-control,yes,5100,4478,112.5,237.66,4.66,0.39092538,6.6,45.33333333,39.80444444,1.159090909,1.068480076,NA,NA,44,NA,NA,NA,53.34,109.22,17582.36436
1981,pre-control,yes,5800,4962,NA,319.58,5.51,0.44458668,8.4,NA,NA,1.137254902,1.108083966,NA,NA,33,NA,NA,NA,45.72,172.72,20164.16312
1982,pre-control,yes,6600,7335,NA,331.32,5.02,0.50591388,NA,NA,NA,1.137931034,1.478234583,NA,NA,38,NA,NA,0.928571429,60.96,180.34,20164.16312
1983,post-control,no,7900,5055,NA,457.41,5.79,0.60557058,NA,NA,NA,1.196969697,0.689161554,NA,NA,NA,46,25,0.944444444,63.5,170.18,20803.30226
1984,post-control,no,8100,6227,NA,452.79,5.59,0.62090238,NA,NA,NA,1.025316456,1.231849654,NA,NA,NA,36,20,0.9375,88.9,256.54,65092.65228
1985,post-control,no,8500,8083,195,413.1,4.86,0.65156598,11.5,43.58974359,41.45128205,1.049382716,1.298056849,NA,NA,NA,36,20,0.820512821,38.1,86.36,113031.2693
1986,post-control,no,9200,7204,NA,483.92,5.26,0.70522728,NA,NA,NA,1.082352941,0.891253248,NA,NA,10,29,17,0.90625,43.18,101.6,114219.3068
1987,post-control,no,9400,7780,191,345.92,3.68,0.72055908,11.2,49.21465969,40.73298429,1.02173913,1.07995558,50,10,10,31,19,0.947368421,40.64,101.6,114219.3068
1988,post-control,no,9700,8338,184,396.73,4.09,0.74355678,10.8,52.7173913,45.31521739,1.031914894,1.071722365,60,13.33333333,13,35,21,0.860465116,71.12,172.72,127789.9512
1989,post-control,no,10300,10690,NA,425.39,4.13,0.78955218,NA,NA,NA,1.06185567,1.282082034,51,15.68627451,16,36,22,0.87755102,93.98,198.12,128000.3304
1990,post-control,no,10500,7886,NA,429.45,4.09,0.80488398,NA,NA,NA,1.019417476,0.737698784,32,21.875,22,17,11,0.780487805,137.16,373.38,128000.3304
1991,post-control,no,11500,5755,267,442.75,3.85,0.88154298,15.7,43.07116105,21.55430712,1.095238095,0.729774284,24,20.83333333,21,8,6,0.857142857,81.28,251.46,127560.8239
1992,post-control,no,11600,5870,NA,277.24,2.39,0.88920888,NA,NA,NA,1.008695652,1.019982624,NA,NA,NA,11,8,0.853658537,116.84,353.06,120410.1623
1993,post-control,yes,12300,3661,254,442.8,3.6,0.94287018,15.4,48.42519685,14.41338583,1.060344828,0.623679727,28,0,0,5,3,0.897435897,53.34,162.56,123144.9567
1994,post-control,yes,13800,4341,175,441.6,3.2,1.05785868,10.6,78.85714286,24.80571429,1.12195122,1.185741601,51,17.64705882,18,23,16,0.854166667,68.58,205.74,119374.3827
1995,post-control,no,NA,4646,180,NA,4.66,NA,10.5188,NA,25.81111111,NA,1.070260309,46,6.52173913,6,20,14,0.9,68.58,142.24,131562.0519
1996,post-control,no,11531.77868,4100,188,751.8719698,6.52,0.883979102,10.9836,NA,21.80851064,NA,0.882479552,40,17.5,15,21,14,0.892857143,60.96,172.72,131426.5525
1997,post-control,no,13249.6728,3699,206,842.6791901,6.36,1.015671147,12.0294,NA,17.95631068,1.148970438,0.902195122,29,10.34482759,8,18,12,0.911764706,45.72,116.84,129405.4839
1998,post-control,no,11414.4666,3829,244,688.292336,6.03,0.874986075,14.06096928,46.78060082,15.69262295,0.861490451,1.035144634,55,7.272727273,7,16,10,0.921875,38.1,88.9,129405.4839
1999,post-control,no,13721.4,3625,152,772.51482,5.63,1.051833283,8.759292341,90.27236842,23.84868421,1.202106106,0.946722382,64,3.125,3,19,11,0.846153846,78.74,170.18,128766.3448
2000,post-control,no,13565.31,3227,191,670.126314,4.94,1.039867579,11.00674235,71.02256545,16.89528796,0.988624339,0.890206897,29,10.34482759,10,11,7,0.876923077,53.34,144.78,84476.99476
2001,post-control,no,13927.1,2965,210,654.5737,4.7,1.067602039,NA,66.31952381,14.11904762,1.026670235,0.91881004,28,3.571428571,3,13,8,NA,33.02,124.46,79898.34524
2002,post-control,no,NA,2803,225,NA,3.48,NA,NA,NA,12.45777778,NA,0.945362563,58,10.34482759,10,25,14,NA,33.02,104.14,79741.91669
2003,post-control,no,17767.64,2581,225,625.420928,3.52,1.362013995,NA,78.96728889,11.47111111,NA,0.920799144,58,8.620689655,9,20,13,NA,53.34,157.48,102270.3834
2004,post-control,no,16414.86,2211,225,1037.419152,6.32,1.258311233,NA,72.95493333,9.826666667,0.923862708,0.856644711,60,5,5,35,19,NA,66.04,198.12,88699.73902
2005,post-control,no,16151.08,NA,221,1209.715892,7.49,1.238090122,12.73555005,73.08180995,NA,0.983930414,NA,54,9.259259259,9,33,18,NA,50.8,127,88489.35979
2006,post-control,no,15454.12,NA,225,1120.4237,7.25,1.184661865,NA,68.68497778,NA,0.956847468,NA,55,10.90909091,11,27,16,NA,40.64,71.12,172468.8795
2007,post-control,no,NA,2985,225,NA,7,NA,NA,NA,13.26666667,NA,NA,60,3.333333333,3,24,15,NA,48.26,142.24,198126.2046
2008,post-control,no,12537,2078,226.5,877.59,7,0.961038363,13.05249813,55.35099338,9.174392936,NA,0.696147404,63,9.523809524,9.5,NA,NA,NA,76.2,182.88,198195.4035
2009,post-control,no,15677,1764,226.5,913.9691,5.83,1.201747623,NA,69.21412804,7.78807947,1.250458642,0.848893167,60,8.333333333,8,16,10,NA,33.02,63.5,213542.0825
2010,post-control,no,14497,NA,226.5,839.3763,5.79,1.111290003,NA,64.00441501,NA,0.924730497,NA,54,5.555555556,5.5,28,15,NA,76.2,137.16,214205.2221
2011,post-control,no,12724,2067,NA,803,6.310908519,0.975373596,11.1,NA,NA,0.877698834,NA,50,10,10,30,15,NA,71.12,144.78,254719.0753
2012,post-control,no,12193,NA,NA,696,5.708193226,0.934667667,NA,NA,NA,0.95826784,NA,54,22.22222222,22,15,9,NA,63.5,175.26,275726.9976
2013,post-control,no,10155.53,NA,NA,493,4.854497993,0.778477254,17.5,NA,NA,0.832898384,NA,48,10.41666667,10.5,9.6,6.5,NA,58.42,124.46,275166.2675
